row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales,postal_code_isnull
1,152156,2017-11-08,2017-11-11,Second Class,12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,1
2,152156,2017-11-08,2017-11-11,Second Class,12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,1
3,138688,2017-06-12,2017-06-16,Second Class,13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,1
4,108966,2016-10-11,2016-10-18,Standard Class,20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,1
5,108966,2016-10-11,2016-10-18,Standard Class,20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,1
6,115812,2015-06-09,2015-06-14,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,1
7,115812,2015-06-09,2015-06-14,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,10002833,Office Supplies,Art,Newell 322,7.28,1
8,115812,2015-06-09,2015-06-14,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,1
9,115812,2015-06-09,2015-06-14,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,1
10,115812,2015-06-09,2015-06-14,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,1
11,115812,2015-06-09,2015-06-14,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,1
12,115812,2015-06-09,2015-06-14,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,1
13,114412,2018-04-15,2018-04-20,Standard Class,10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,10002365,Office Supplies,Paper,Xerox 1967,15.55,1
14,161389,2017-12-05,2017-12-10,Standard Class,15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,1
15,118983,2016-11-22,2016-11-26,Standard Class,14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,1
16,118983,2016-11-22,2016-11-26,Standard Class,14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,1
17,105893,2015-11-11,2015-11-18,Standard Class,19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,1
18,167164,2015-05-13,2015-05-15,Second Class,10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,1
19,143336,2015-08-27,2015-09-01,Second Class,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,10003056,Office Supplies,Art,Newell 341,8.56,1
20,143336,2015-08-27,2015-09-01,Second Class,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,1
21,143336,2015-08-27,2015-09-01,Second Class,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,1
22,137330,2017-12-09,2017-12-13,Standard Class,16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,10000246,Office Supplies,Art,Newell 318,19.46,1
23,137330,2017-12-09,2017-12-13,Standard Class,16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,1
24,156909,2018-07-16,2018-07-18,Second Class,20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,1
25,106320,2016-09-25,2016-09-30,Standard Class,13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,1
26,121755,2017-01-16,2017-01-20,Second Class,13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,1
27,121755,2017-01-16,2017-01-20,Second Class,13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,1
28,150630,2016-09-17,2016-09-21,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,1
29,150630,2016-09-17,2016-09-21,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,1
30,150630,2016-09-17,2016-09-21,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,1
31,150630,2016-09-17,2016-09-21,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,1
32,150630,2016-09-17,2016-09-21,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,1
33,150630,2016-09-17,2016-09-21,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,1
34,150630,2016-09-17,2016-09-21,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,10001683,Office Supplies,Art,Lumber Crayons,15.76,1
35,107727,2018-10-19,2018-10-23,Second Class,17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,10000249,Office Supplies,Paper,Easy-staple paper,29.47,1
36,117590,2017-12-08,2017-12-10,First Class,14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,10004977,Technology,Phones,GE 30524EE4,1097.54,1
37,117590,2017-12-08,2017-12-10,First Class,14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,1
38,117415,2016-12-27,2016-12-31,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,1
39,117415,2016-12-27,2016-12-31,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,1
40,117415,2016-12-27,2016-12-31,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,1
41,117415,2016-12-27,2016-12-31,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,1
42,120999,2018-09-10,2018-09-15,Standard Class,16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,10004093,Technology,Phones,Panasonic Kx-TS550,147.17,1
43,101343,2017-07-17,2017-07-22,Standard Class,19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,1
44,139619,2018-09-19,2018-09-23,Standard Class,14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,1
45,118255,2017-03-11,2017-03-13,First Class,18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,1
